date,confirmed,deaths,recovered,active,daily_new_cases
2020-02-01,12,0,0,12,0
2020-02-02,15,0,0,15,3
2020-02-03,15,0,0,15,0
2020-02-04,16,0,0,16,1
2020-02-05,19,0,0,19,3
2020-02-06,23,0,0,23,4
2020-02-07,24,0,1,23,1
2020-02-08,24,0,1,23,0
2020-02-09,25,0,3,22,1
2020-02-10,27,0,3,24,2
2020-02-11,28,0,3,25,1
2020-02-12,28,0,7,21,0
2020-02-13,28,0,7,21,0
2020-02-14,28,0,7,21,0
2020-02-15,28,0,9,19,0
2020-02-16,29,0,9,20,1
2020-02-17,30,0,10,20,1
2020-02-18,31,0,12,19,1
2020-02-19,31,0,12,19,0
2020-02-20,104,1,16,87,73
2020-02-21,204,2,16,186,100
2020-02-22,433,2,16,415,229
2020-02-23,602,6,18,578,169
2020-02-24,833,8,18,807,231
2020-02-25,977,10,22,945,144
2020-02-26,1261,12,22,1227,284
2020-02-27,1766,13,22,1731,505
2020-02-28,2337,13,22,2302,571
2020-02-29,3150,16,27,3107,813
2020-03-01,3736,17,30,3689,586
2020-03-02,4335,28,30,4277,599
2020-03-03,5186,28,30,5128,851
2020-03-04,5621,35,41,5545,435
2020-03-05,6088,35,41,6012,467
2020-03-06,6593,42,135,6416,505
2020-03-07,7041,44,135,6862,448
2020-03-08,7314,50,118,7146,273
2020-03-09,7478,53,118,7307,164
2020-03-10,7513,54,247,7212,35
2020-03-11,7755,60,288,7407,242
2020-03-12,7869,66,333,7470,114
2020-03-13,7979,66,510,7403,110
2020-03-14,8086,72,510,7504,107
2020-03-15,8162,75,510,7577,76
2020-03-16,8236,75,1137,7024,74
2020-03-17,8320,81,1407,6832,84
2020-03-18,8413,84,1540,6789,93
2020-03-19,8565,91,1540,6934,152
2020-03-20,8652,94,1540,7018,87
2020-03-21,8799,102,1540,7157,147
2020-03-22,8961,111,2909,5941,162
2020-03-23,8961,111,2909,5941,0
2020-03-24,9037,120,3507,5410,76
2020-03-25,9137,126,3730,5281,100
2020-03-26,9241,131,4144,4966,104
2020-03-27,9332,139,4528,4665,91
2020-03-28,9478,144,4811,4523,146
2020-03-29,9583,152,5033,4398,105
2020-03-30,9661,158,5228,4275,78
2020-03-31,9786,162,5408,4216,125
2020-04-01,9887,165,5567,4155,101
2020-04-02,9976,169,5828,3979,89
2020-04-03,10062,174,6021,3867,86
2020-04-04,10156,177,6325,3654,94
2020-04-05,10237,183,6463,3591,81
2020-04-06,10284,186,6598,3500,47
2020-04-07,10331,192,6694,3445,47
2020-04-08,10384,200,6776,3408,53
2020-04-09,10423,204,6973,3246,39
2020-04-10,10450,208,7117,3125,27
2020-04-11,10480,211,7243,3026,30
2020-04-12,10512,214,7368,2930,32
2020-04-13,10537,217,7447,2873,25
2020-04-14,10564,222,7534,2808,27
2020-04-15,10591,225,7616,2750,27
2020-04-16,10613,229,7757,2627,22
2020-04-17,10635,230,7829,2576,22
2020-04-18,10653,232,7937,2484,18
2020-04-19,10661,234,8042,2385,8
2020-04-20,10674,236,8114,2324,13
2020-04-21,10683,237,8213,2233,9
2020-04-22,10694,238,8277,2179,11
2020-04-23,10708,240,8501,1967,14
2020-04-24,10718,240,8635,1843,10
2020-04-25,10728,242,8717,1769,10
2020-04-26,10738,243,8764,1731,10
2020-04-27,10752,244,8854,1654,14
2020-04-28,10761,246,8922,1593,9
2020-04-29,10765,247,9059,1459,4
2020-04-30,10774,248,9072,1454,9
2020-05-01,10780,250,9123,1407,6
2020-05-02,10793,250,9183,1360,13
2020-05-03,10801,252,9217,1332,8
2020-05-04,10804,254,9283,1267,3
2020-05-05,10806,255,9333,1218,2
2020-05-06,10810,256,9419,1135,4
2020-05-07,10822,256,9484,1082,12
2020-05-08,10840,256,9568,1016,18
2020-05-09,10874,256,9610,1008,34
2020-05-10,10909,256,9632,1021,35
2020-05-11,10936,258,9670,1008,27
2020-05-12,10962,259,9695,1008,26
2020-05-13,10991,260,9762,969,29
2020-05-14,11018,260,9821,937,27
2020-05-15,11037,262,9851,924,19
2020-05-16,11050,262,9888,900,13
2020-05-17,11065,263,9904,898,15
2020-05-18,11078,263,9938,877,13
2020-05-19,11110,263,10066,781,32
2020-05-20,11122,264,10135,723,12
2020-05-21,11142,264,10162,716,20
2020-05-22,11165,266,10194,705,23
2020-05-23,11190,266,10213,711,25
2020-05-24,11206,267,10226,713,16
2020-05-25,11225,269,10275,681,19
2020-05-26,11265,269,10295,701,40
2020-05-27,11344,269,10340,735,79
2020-05-28,11402,269,10363,770,58
2020-05-29,11441,269,10398,774,39
2020-05-30,11468,270,10405,793,27
2020-05-31,11503,271,10422,810,35
